timestamp,range_mm_raw
2026-05-24T16:40:52.132,50.0
2026-05-24T16:40:52.237,50.0
2026-05-24T16:40:52.340,40.0
2026-05-24T16:40:52.444,50.0
2026-05-24T16:40:52.548,40.0
2026-05-24T16:40:52.652,50.0
2026-05-24T16:40:52.756,50.0
2026-05-24T16:40:52.874,50.0
2026-05-24T16:40:52.978,50.0
2026-05-24T16:40:53.082,50.0
2026-05-24T16:40:53.186,40.0
2026-05-24T16:40:53.289,40.0
2026-05-24T16:40:53.393,40.0
2026-05-24T16:40:53.497,40.0
2026-05-24T16:40:53.600,50.0
2026-05-24T16:40:53.704,40.0
2026-05-24T16:40:53.808,40.0
2026-05-24T16:40:53.912,40.0
2026-05-24T16:40:54.016,40.0
2026-05-24T16:40:54.119,40.0
2026-05-24T16:40:54.223,50.0
2026-05-24T16:40:54.327,40.0
2026-05-24T16:40:54.449,50.0
2026-05-24T16:40:54.553,40.0
2026-05-24T16:40:54.657,50.0
2026-05-24T16:40:54.760,50.0
2026-05-24T16:40:54.864,50.0
2026-05-24T16:40:54.968,40.0
2026-05-24T16:40:55.072,50.0
2026-05-24T16:40:55.176,40.0
2026-05-24T16:40:55.279,50.0
2026-05-24T16:40:55.383,40.0
2026-05-24T16:40:55.487,50.0
2026-05-24T16:40:55.590,50.0
2026-05-24T16:40:55.694,50.0
2026-05-24T16:40:55.798,40.0
2026-05-24T16:40:55.902,40.0
2026-05-24T16:40:56.021,50.0
2026-05-24T16:40:56.125,50.0
2026-05-24T16:40:56.229,40.0
2026-05-24T16:40:56.333,40.0
2026-05-24T16:40:56.436,50.0
2026-05-24T16:40:56.540,50.0
2026-05-24T16:40:56.644,40.0
2026-05-24T16:40:56.748,50.0
2026-05-24T16:40:56.852,50.0
2026-05-24T16:40:56.955,50.0
2026-05-24T16:40:57.059,50.0
2026-05-24T16:40:57.163,50.0
2026-05-24T16:40:57.267,50.0
2026-05-24T16:40:57.371,50.0
2026-05-24T16:40:57.475,50.0
2026-05-24T16:40:57.596,50.0
2026-05-24T16:40:57.700,50.0
2026-05-24T16:40:57.803,50.0
2026-05-24T16:40:57.907,50.0
2026-05-24T16:40:58.011,50.0
2026-05-24T16:40:58.115,50.0
