mode,K,tau,disturbance_dps,command_dps,final_yaw_rate_dps,final_error_dps,final_error_ratio,error_ratio_1s,response_time_63_s,max_abs_yaw_rate_dps,saturation_ratio,settling_time_s,diverged,opposite_sign,pass,fail_reason
GPS_TRACKING_CLOSED,0.32,0.66,0.0,-30.0,-24.988824655309976,-5.011175344690024,0.16703917815633412,0.309362898804523,0.8500000000000001,25.004907476375095,0.0,nan,False,False,True,
GPS_TRACKING_CLOSED,0.32,0.66,0.0,-15.0,-11.568636950973517,-3.4313630490264835,0.22875753660176557,0.3747484726396114,1.05,11.568636950973517,0.0,nan,False,False,True,
GPS_TRACKING_CLOSED,0.32,0.66,0.0,15.0,11.568636950973517,3.4313630490264835,0.22875753660176557,0.3747484726396114,1.05,11.568636950973517,0.0,nan,False,False,True,
GPS_TRACKING_CLOSED,0.32,0.66,0.0,30.0,24.988824655309976,5.011175344690024,0.16703917815633412,0.309362898804523,0.8500000000000001,25.004907476375095,0.0,nan,False,False,True,
GPS_TRACKING_CLOSED,0.32,0.66,15.0,-30.0,-12.236874167631692,-17.76312583236831,0.592104194412277,0.6670847828460109,nan,12.236874167631692,0.0,nan,False,False,False,FINAL_ERROR
GPS_TRACKING_CLOSED,0.32,0.66,15.0,-15.0,-0.36935698982056747,-14.630643010179433,0.9753762006786288,1.0414015147788214,nan,1.4124994904808494,0.0,nan,False,False,False,FINAL_ERROR
GPS_TRACKING_CLOSED,0.32,0.66,15.0,15.0,19.86053086893179,-4.860530868931789,0.3240353912621193,0.29343433489902654,0.30000000000000004,21.570042028007563,0.0,nan,False,False,True,
GPS_TRACKING_CLOSED,0.32,0.66,15.0,30.0,34.94899298984748,-4.948992989847483,0.1649664329949161,0.02750755186591102,0.45,35.961402716067845,0.0,nan,False,False,True,
GPS_TRACKING_CLOSED,0.63,0.3,-15.0,-30.0,-39.48908358305211,9.489083583052107,0.3163027861017369,0.5024562716803397,0.1,46.09552013073279,0.0,nan,False,False,True,
GPS_TRACKING_CLOSED,0.63,0.3,-15.0,-15.0,-19.964053891685236,4.964053891685236,0.33093692611234904,0.6512098356441615,0.1,25.593873186986826,0.0,nan,False,False,True,
GPS_TRACKING_CLOSED,0.63,0.3,-15.0,15.0,10.046146095037969,4.953853904962031,0.3302569269974687,0.42994152473471214,1.3,10.28172709459967,0.0,nan,False,False,True,
GPS_TRACKING_CLOSED,0.63,0.3,-15.0,30.0,28.17036133952425,1.8296386604757515,0.06098795534919172,0.07449861339480286,0.25,28.17036133952425,0.0,0.75,False,False,True,
GPS_TRACKING_CLOSED,0.63,0.3,0.0,-30.0,-34.991871824766896,4.991871824766896,0.1663957274922299,0.2391973987926555,0.15000000000000002,37.413627701511864,0.0,nan,False,False,True,
GPS_TRACKING_CLOSED,0.63,0.3,0.0,-15.0,-17.23943190314074,2.2394319031407406,0.1492954602093827,0.12474606481106297,0.2,17.23943190314074,0.0,nan,False,False,True,
GPS_TRACKING_CLOSED,0.63,0.3,0.0,15.0,17.23943190314074,-2.2394319031407406,0.1492954602093827,0.12474606481106297,0.2,17.23943190314074,0.0,nan,False,False,True,
GPS_TRACKING_CLOSED,0.63,0.3,0.0,30.0,34.991871824766896,-4.991871824766896,0.1663957274922299,0.2391973987926555,0.15000000000000002,37.413627701511864,0.0,nan,False,False,True,
GPS_TRACKING_CLOSED,0.63,0.3,15.0,-30.0,-28.17036133952425,-1.8296386604757515,0.06098795534919172,0.07449861339480286,0.25,28.17036133952425,0.0,0.75,False,False,True,
GPS_TRACKING_CLOSED,0.63,0.3,15.0,-15.0,-10.046146095037969,-4.953853904962031,0.3302569269974687,0.42994152473471214,1.3,10.28172709459967,0.0,nan,False,False,True,
GPS_TRACKING_CLOSED,0.63,0.3,15.0,15.0,19.964053891685236,-4.964053891685236,0.33093692611234904,0.6512098356441615,0.1,25.593873186986826,0.0,nan,False,False,True,
GPS_TRACKING_CLOSED,0.63,0.3,15.0,30.0,39.48908358305211,-9.489083583052107,0.3163027861017369,0.5024562716803397,0.1,46.09552013073279,0.0,nan,False,False,True,
GPS_TRACKING_CLOSED,0.63,0.5,-15.0,-30.0,-39.48908358328595,9.489083583285947,0.31630278610953155,0.5190704169485959,0.2,45.71647520688751,0.0,nan,False,False,True,
GPS_TRACKING_CLOSED,0.63,0.5,-15.0,-15.0,-19.979149402730734,4.979149402730734,0.33194329351538227,0.6773793421740995,0.15000000000000002,25.18097137253795,0.0,nan,False,False,True,
GPS_TRACKING_CLOSED,0.63,0.5,-15.0,15.0,10.045858075775767,4.954141924224233,0.3302761282816155,0.4634108913274847,1.35,10.171505022470232,0.0,nan,False,False,True,
GPS_TRACKING_CLOSED,0.63,0.5,-15.0,30.0,30.622419787691594,-0.6224197876915945,0.02074732625638648,0.0697676502874156,0.4,30.622419787691594,0.0,0.9,False,False,True,
GPS_TRACKING_CLOSED,0.63,0.5,0.0,-30.0,-34.84696379037898,4.846963790378979,0.1615654596792993,0.2417578649041611,0.25,37.8168221787914,0.0,nan,False,False,True,
GPS_TRACKING_CLOSED,0.63,0.5,0.0,-15.0,-18.11925066603481,3.1192506660348087,0.2079500444023206,0.08208763192095508,0.30000000000000004,18.11925066603481,0.0,nan,False,False,True,
GPS_TRACKING_CLOSED,0.63,0.5,0.0,15.0,18.11925066603481,-3.1192506660348087,0.2079500444023206,0.08208763192095508,0.30000000000000004,18.11925066603481,0.0,nan,False,False,True,
GPS_TRACKING_CLOSED,0.63,0.5,0.0,30.0,34.84696379037898,-4.846963790378979,0.1615654596792993,0.2417578649041611,0.25,37.8168221787914,0.0,nan,False,False,True,
